Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Configuration #,Test Veh Displacement (L),Actual Tested Testgroup,Vehicle Type,Rated Horsepower,# of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,# of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Equivalent Test Weight (lbs.),Axle Ratio,N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,ADFE Test Number,ADFE Total Road Load HP,ADFE Equiv. Test Weight (lbs.),ADFE N/V Ratio,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),PM (g/mi),CH4 (g/mi),N2O (g/mi),RND_ADJ_FE,FE_UNIT,FE Bag 1,FE Bag 2,FE Bag 3,FE Bag 4,DT-Inertia Work Ratio Rating,DT-Absolute Speed Change Ratg,DT-Energy Economy Rating,Target Coef A (lbf),Target Coef B (lbf/mph),Target Coef C (lbf/mph**2),Set Coef A (lbf),Set Coef B (lbf/mph),Set Coef C (lbf/mph**2),Aftertreatment Device Cd,Aftertreatment Device Desc,Police - Emergency Vehicle?,Averaging Group ID,Averaging Weighting Factor,Averaging Method Cd,Averging Method Desc
2017,Audi,ADX,AUDI,A4,D3UB-BMQ,1,1.984,DADXV02.03UB,Car,211,4,CAEB,M,Manual,6,N,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,3875,3.69,31.2,2,"Equipped, not shifted by SIL",DADX10020124,MFR,No,,,,,90,US06,61,Tier 2 Cert Gasoline,US06,0.0216000,0.7800000,301.0000000,0.0270000,,0.0070000,,29.4,MPG,18.9000000,34.9000000,,,,,,36.194,0.32916,0.017635,3.934,-0.04500,0.019497,TWC,Three-way catalyst,N,,,N,No averaging
2017,Audi,ADX,AUDI,A4,D3UB-BMQ,1,1.984,DADXV02.03UB,Car,211,4,CAEB,M,Manual,6,N,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,3875,3.69,31.2,2,"Equipped, not shifted by SIL",DADX10020477,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0233000,0.7300000,314.0000000,0.0180000,,0.0048000,0.0100000,28.2,MPG,26.5000000,27.4000000,31.4000000,,,,,36.194,0.32916,0.017635,3.934,-0.04500,0.019497,TWC,Three-way catalyst,N,,,N,No averaging
2017,Audi,ADX,AUDI,A4,D3UB-BMQ,1,1.984,DADXV02.03UB,Car,211,4,CAEB,M,Manual,6,N,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,3875,3.69,31.2,2,"Equipped, not shifted by SIL",DADX10020478,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0091000,0.1300000,200.0000000,0.0040000,,0.0041000,0.0100000,44.4,MPG,,,,,,,,36.194,0.32916,0.017635,3.934,-0.04500,0.019497,TWC,Three-way catalyst,N,,,N,No averaging
2017,Audi,ADX,AUDI,Q5,D3UF-Q5A,0,2.995,DADXJ03.03UF,Both,272,6,CTUC,A,Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,4750,3.20,25.7,1,Not eqipped,DADX10022555,MFR,No,,,,,90,US06,61,Tier 2 Cert Gasoline,US06,0.0368000,1.1500000,387.0000000,0.0160000,,0.0068000,,22.9,MPG,14.5000000,27.5000000,,,,,,50.582,0.18448,0.023222,9.667,0.19171,0.021418,TWC,Three-way catalyst,N,,,N,No averaging
2017,Audi,ADX,AUDI,Q5,D3UF-Q5A,0,2.995,DADXJ03.03UF,Both,272,6,CTUC,A,Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,4750,3.20,25.7,1,Not eqipped,DADX10022712,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0227000,0.5500000,384.0000000,0.0220000,,0.0045000,0.0100000,23.2,MPG,21.3000000,22.9000000,25.3000000,,,,,50.582,0.18448,0.023222,9.667,0.19171,0.021418,TWC,Three-way catalyst,N,,,N,No averaging
2017,Audi,ADX,AUDI,Q5,D3UF-Q5A,1,2.995,DADXJ03.03UF,Both,272,6,CTUC,A,Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,4750,3.20,25.7,1,Not eqipped,DADX10022562,MFR,No,,,,,11,Cold CO,27,Cold CO Premium (Tier 2),FTP,0.3290000,1.5200000,475.0000000,0.0290000,,0.0271000,,18.6,MPG,15.0000000,18.6000000,22.5000000,,,,,55.640,0.20292,0.025544,10.633,0.21088,0.023560,TWC,Three-way catalyst,N,,,N,No averaging
2017,Audi,ADX,AUDI,Q5,D3UF-Q5A,1,2.995,DADXJ03.03UF,Both,272,6,CTUC,A,Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,4750,3.20,25.7,1,Not eqipped,DADX10022565,MFR,No,,,,,90,US06,61,Tier 2 Cert Gasoline,US06,0.0399000,1.3600000,388.0000000,0.0170000,,0.0078000,,22.9,MPG,14.1000000,27.9000000,,,,,,50.582,0.18448,0.023222,9.667,0.19171,0.021418,TWC,Three-way catalyst,N,,,N,No averaging
2017,Audi,ADX,AUDI,Q5,D3UF-Q5A,1,2.995,DADXJ03.03UF,Both,272,6,CTUC,A,Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,4750,3.20,25.7,1,Not eqipped,DADX10022566,MFR,No,,,,,95,SC03,61,Tier 2 Cert Gasoline,SC03,0.0159000,0.3000000,464.0000000,0.0220000,,0.0018000,,19.2,MPG,,,,,,,,50.582,0.18448,0.023222,9.667,0.19171,0.021418,TWC,Three-way catalyst,N,,,N,No averaging
2017,Audi,ADX,AUDI,Q5,D3UF-Q5A,1,2.995,DADXJ03.03UF,Both,272,6,CTUC,A,Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,4750,3.20,25.7,1,Not eqipped,DADX10022713,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0255000,0.6700000,396.0000000,0.0190000,,0.0051000,0.0100000,22.5,MPG,21.2000000,22.1000000,24.2000000,,,,,50.582,0.18448,0.023222,9.667,0.19171,0.021418,TWC,Three-way catalyst,N,,,N,No averaging
2017,Audi,ADX,AUDI,Q5,D3UF-Q5A,1,2.995,DADXJ03.03UF,Both,272,6,CTUC,A,Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,4750,3.20,25.7,1,Not eqipped,DADX10022714,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0272000,0.3000000,251.0000000,0.0070000,,0.0079000,0.0100000,35.5,MPG,,,,,,,,50.582,0.18448,0.023222,9.667,0.19171,0.021418,TWC,Three-way catalyst,N,,,N,No averaging
